"Age1" "Age2" "Age3" "Age4" "Age5" "Age6" "Age7" "Age8" "Sim"
20617550.781285 5819904.322817 3317416.816675 836917.697145 824728.700029 207212.108967 242898.196295 792086.925771 2
5132757.209019 9171588.654019 3031010.558581 1898346.155393 508589.967964 513013.868852 132064.619629 674583.61947 2
2535214.748141 2283296.845854 4782812.91828 1742476.763909 1160565.515063 319129.7272 329823.756332 530660.043207 2
15955368.376912 1127787.958704 1191087.837971 2752749.874113 1066883.886631 729826.656096 205622.519599 566310.308121 2
12692652.249331 7097734.971722 588358.363737 685715.516206 1686044.410039 671255.175211 470482.602181 508771.117524 2
3384142.143388 5646218.834135 3693987.246806 335870.190723 415400.920758 1044031.813375 425878.509861 634103.426554 2
6080595.451915 1505402.100602 2937256.912194 2105468.241014 203055.411936 256469.827171 660443.868756 684800.471352 2
10319749.09067 2704895.392799 783244.010033 1674975.374008 1273706.457166 125483.214668 162390.531068 869271.550179 2
4798753.922356 4590678.493592 1408819.719995 448322.217629 1018232.243359 792701.426716 80016.450311 673182.213258 2
5513084.545244 2134693.010537 2390417.881043 805688.215327 272227.436444 632655.303249 504641.895984 490867.406842 2
11857215.842 2452451.221693 1111132.076366 1365200.484755 488361.987008 168710.032838 401725.615934 645032.181226 2
11241914.258282 5274569.170509 1275944.135137 633556.344922 825764.082773 301734.081728 106801.359638 676844.244959 2
2874122.616024 5000851.544619 2743722.380924 727068.347126 382900.120587 509586.348277 190782.932281 507119.66528 2
18944171.294926 1278526.774486 2602027.580228 1564909.501057 439950.06884 236707.687096 322773.595104 451928.331815 2
11908282.524902 8427261.88728 666565.352116 1494573.23731 955644.276927 275611.127284 151935.435571 507776.395586 2
7427084.692016 5297369.718999 4393970.230256 382984.580723 913056.623473 599019.599362 177008.805913 433309.398675 2
5146388.281448 3303930.966487 2763289.263113 2528635.533351 234455.727442 574044.350595 385870.985479 401877.275551 2
10949269.801433 2289330.610524 1719863.468449 1578573.007969 1533245.606699 145374.48818 364691.931833 510742.412648 2
7174717.099812 4870700.523857 1191826.547255 982831.443177 957593.552986 951296.64082 92415.706693 568293.298391 2
4489836.299772 3191608.560414 2534550.192774 679999.9392 594974.367334 592358.975628 602938.587242 428578.483117 2
