"TotalBio" "Sim"
1107743.09412079 8
1149824.50532177 8
1077326.22904778 8
977492.757790943 8
951383.287882197 8
849133.064053508 8
769399.800074044 8
889005.186681065 8
955687.790746019 8
995343.321482885 8
959533.477716451 8
868847.451262882 8
847848.993701082 8
809774.26253829 8
780107.887376967 8
861940.351471041 8
1610452.92105025 8
1550700.9825033 8
1469839.17812152 8
1805978.04675035 8
1755294.40660654 8
1675586.67906039 8
1721598.724973 8
1944177.30746192 8
1915400.54680651 8
1851058.76343847 8
1692505.8914097 8
1963692.0921572 8
1861467.05971394 8
1855182.89720049 8
1827560.63714987 8
1723368.09816892 8
1630594.60193384 8
1790074.55115264 8
1776884.90747048 8
1536334.38681476 8
1530570.91661587 8
1339186.70284771 8
1324941.01031504 8
1523078.38865008 8
1602377.64602074 8
1611018.88957762 8
1565514.40856164 8
1484972.3500952 8
1354988.4934709 8
1453180.95057106 8
1369354.97016692 8
1246202.69519967 8
1313542.92348345 8
1449709.25918284 8
1338391.3232348 8
1422661.68689913 8
1402001.9290819 8
1292305.73140342 8
1275687.57658436 8
1364432.96470819 8
1318727.54177419 8
1199087.62532235 8
1107111.88096592 8
959876.953118622 8
807321.799887057 8
834557.71260187 8
814885.415255883 8
770575.418898214 8
855473.043329592 8
878618.457737179 8
984247.568480183 8
1030184.23631627 8
1098848.70420812 8
1069563.05727905 8
692035.870723111 9
636108.752482063 9
595623.835487077 9
488854.529544308 9
620309.468690125 9
664577.966806876 9
689263.505879848 9
699291.165384436 9
643688.242099681 9
767854.061130418 9
782820.498536679 9
923690.327950218 9
893852.566994348 9
1006614.34793643 9
1151198.59600615 9
1064020.38699574 9
1070700.70005487 9
1001313.40638103 9
939893.100402039 9
911551.277615633 9
1031569.29119218 9
979097.665633505 9
1013757.48331119 9
993062.646020757 9
940224.429168583 9
1107474.08498294 9
1110173.47762777 9
1040924.08409529 9
1154517.13029624 9
1071033.87438856 9
1067303.08209459 9
1115413.16550341 9
1073435.50880596 9
1037007.68840926 9
936733.384541212 9
1298932.5709769 9
1403627.81693485 9
1450515.93949887 9
1495863.91045805 9
1496745.55646495 9
1712182.35856438 9
1630355.19919934 9
1543503.72293745 9
1719537.75243329 9
1624105.96642816 9
1511008.75519921 9
1302318.96336572 9
1189735.83401574 9
1058488.55792187 9
998632.307287991 9
1133892.66275478 9
1070747.36936448 9
1112736.41391637 9
1149456.48035229 9
1046509.87885747 9
945364.926975108 9
859004.266916835 9
878424.819928354 9
822049.045027042 9
731218.992974986 9
834852.721077228 9
791266.082209228 9
829683.413992527 9
862053.184119433 9
814936.965458491 9
869418.321582703 9
996751.8221933 9
1794334.15981082 9
1717029.53867293 9
1715939.25325598 9
1589611.95908829 9
1348632.80043211 9
1284057.24626344 9
1266917.85868398 9
1425122.09152635 9
1342175.80921214 9
1210141.74195263 9
1310009.82365521 9
1170246.18558888 9
1126437.95389611 9
1030346.88251753 9
1096766.40766124 9
1016673.72279922 9
1264771.05646138 9
1243909.30979477 9
1206279.35806952 9
1170431.09664188 9
1290498.70382593 9
1262133.00115054 9
1482124.62902858 9
1377242.25950535 9
1329970.74401187 9
1184359.93905716 9
1265976.3484618 9
1191246.69752466 9
1434785.15513334 9
1303385.71564771 9
1418258.16754289 9
1641629.19171615 9
1579805.72492428 9
1473024.22339762 9
1468255.15231432 9
1619924.22969368 9
1577629.02460631 9
1445029.39717334 9
1422928.10472807 9
1578244.11569798 9
1445206.25560267 9
1417123.47708368 9
1470173.42558141 9
1422308.4433694 9
1281757.48478619 9
1147482.14229182 9
1086316.64547128 9
1102774.80131084 9
1035423.74526142 9
959522.551175601 9
861908.317691632 9
1165558.5048777 9
1093607.78198782 9
964351.995782555 9
993303.892541198 9
1034336.61547839 9
982968.406981186 9
975351.948131516 9
1032361.51057134 9
960267.437401759 9
925605.559380801 9
1017645.73285526 9
948187.280919262 9
1073982.55480142 9
1081156.99260258 9
942596.690008677 9
816394.916221828 9
838215.445774029 9
856692.441128735 9
1051511.49069663 9
1439619.7063515 9
1589177.46295614 9
1810826.91299458 9
1768862.83728963 9
1764058.50828312 9
1601853.59346769 9
1370286.01036875 9
1209946.94588318 9
1147882.83538924 9
974798.711856112 9
1039124.25460184 9
979531.750215041 9
961693.049344402 9
692035.870723111 10
638533.394456901 10
541614.936517863 10
559353.19602326 10
542157.981705137 10
517576.340435523 10
668261.86277527 10
664426.658624967 10
797101.838814982 10
873921.036274215 10
936385.250690593 10
936769.40721269 10
839073.419337612 10
775991.740204079 10
772606.647807621 10
752525.819921607 10
702526.108006425 10
684128.886633267 10
758615.049480985 10
856854.359722366 10
877624.680431972 10
1073993.03459023 10
1123437.68553482 10
1271214.47732598 10
1236078.92002423 10
1165902.168078 10
1146940.246549 10
1223293.37655987 10
1282850.68389934 10
1209317.79702586 10
1666234.44136549 10
1756327.41456557 10
1687862.7069726 10
1843825.28967491 10
1699661.57340524 10
1435060.21797925 10
1273169.70382195 10
1108320.37766834 10
1032795.57492135 10
1085084.93919746 10
1307949.52733057 10
1159202.83720583 10
1100430.71206076 10
1041653.96101537 10
939140.582835949 10
892980.581557746 10
898149.68112264 10
1035904.05921752 10
1173807.28407437 10
1106372.9758739 10
1275917.71529209 10
1242719.12863486 10
1570118.48220342 10
2004968.89235165 10
1971619.38380677 10
1841229.00270538 10
2234693.14894793 10
2272747.71904282 10
2321528.57493856 10
2158909.78884221 10
2006290.41998359 10
1796886.60581244 10
1618757.08474909 10
1729412.88037153 10
1782367.46459138 10
